tipo,valor_minimo,valor_maximo,impuesto,factor,traslado,retencion,vigencia_inicio,vigencia_fin
Fijo,,0.000000,002,Tasa,true,false,2022-01-01,
Fijo,,0.160000,002,Tasa,true,false,2022-01-01,
Rango,0.000000,0.160000,002,Tasa,false,true,2022-01-01,
Fijo,,0.080000,002,Tasa,true,false,2022-01-01,
Fijo,,0.265000,003,Tasa,true,true,2022-01-01,
Fijo,,0.300000,003,Tasa,true,true,2022-01-01,
Fijo,,0.530000,003,Tasa,true,true,2022-01-01,
Fijo,,0.500000,003,Tasa,true,true,2022-01-01,
Fijo,,1.600000,003,Tasa,true,true,2022-01-01,
Fijo,,0.304000,003,Tasa,true,true,2022-01-01,
Fijo,,0.250000,003,Tasa,true,true,2022-01-01,
Fijo,,0.090000,003,Tasa,true,true,2022-01-01,
Fijo,,0.080000,003,Tasa,true,true,2022-01-01,
Fijo,,0.070000,003,Tasa,true,true,2022-01-01,
Fijo,,0.060000,003,Tasa,true,true,2022-01-01,
Fijo,,0.030000,003,Tasa,true,false,2022-01-01,
Fijo,,0.000000,003,Tasa,true,false,2022-01-01,
Rango,0.000000,72.160500,003,Cuota,true,true,2026-01-01,
Rango,0.000000,0.350000,001,Tasa,false,true,2022-01-01,
